horizonte||ap|ba|bt1|bt2|bc|c
Profundidad|cm|0|10|23|40|57|96
muestra|cm|10|23|40|57|96|130
Mat. orgánica|%|2.45|2.34|1.29|0.81|0.55|0.34
C orgánico|%|1.42|1.36|0.75|0.47|0.32|0.20
N total|%|0.136|0.130|0.048|0.059|0.04|0.03
Relación C/N|---|10|10|16|8|8|6
Arcilla < 2µ|%|19.3|22.7|31.4|27.2|21.1|13.0
Limo 2-50µ|%|73.1|68.1|61.3|65.1|70.9|76.6
Arena >50µ|%|7.6|9.2|7.3|7.7|8.0|10.4
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---|---
Arena:|||||||
Muy fina 50-100µ|%|6.1|7.9|6.6|7.1|7.4|9.4
Fina 100-250µ|%|1.2|1.3|0.7|0.6|0.6|0.8
Media 250-500µ|%|0.3|0.0|0.0|0.0|0.0|0.2
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|3.3
Equiv.humedad|%|24.7|24.8|28.6|27.4|24.9|22.6
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---
pH pasta (1:1)|---|6.3|6.3|6.5|6.7|7.0|8.0
pH agua (1:2,5)|---|6.4|6.5|6.8|6.9|7.0|8.3
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|11.5|12.1|15.2|15.0|15.2|---
Mg++ intercambio|me/100g|3.1|3.1|4.2|4.3|3.8|---
Na+ intercambio|me/100g|0.3|0.2|0.2|0.2|0.2|0.5
K+ intercambio|me/100g|1.9|1.7|1.5|1.6|1.7|1.4
H+ intercambio|me/100g|3.9|4.1|3.0|3.0|2.9|0.0
(Na+/T)|%|1.6|1.0|0.8|0.9|0.9|2.4
C.I.C., (T)|me/100g|19.2|19.3|23.7|23.5|21.8|20.6
Suma bases (S)|me/100g|16.8|17.1|21.1|21.1|20.9|---
Sat.bases, (S/T)|%|88|89|89|90|96|---
