horizonte||a|e|bt1|bt2|bc|ck
Profundidad muestra|cm|0 - 15|15 - 22|22 - 52|52 - 90|90 - 130|130 - 180
Mat. orgánica|%|2.07|1.55|0.86|0.34|0.17|0.00
C orgánico|%|1.20|0.90|0.50|0.20|0.10|0.00
N total|%|0.160|0.112|0.087|0.083|0.08|0.07
Relación C/N|---|8|8|6|2|1|0
Arcilla < 2µ|%|19.0|17.0|32.5|27.0|26.5|23.0
Limo 2-50µ|%|78.0|79.5|65.5|69.5|67.5|65.5
Arena >50µ|%|2.6|3.0|5.4|3.2|6.9|10.8
TOTAL|%|99.6|99.5|103.4|99.7|100.9|99.3
Limo 2-20µ|%|33|32|30|32.5|27.5|36
Arena:|||||||
Muy fina 50-100µ|%|2.0|1.7|4.2|1.4|2.3|4.2
Fina 100-250µ|%|0.5|1.0|1.1|1.6|4.1|5.3
Media 250-500µ|%|0.1|0.3|0.1|0.2|0.5|1.3
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0
Equiv.humedad|%|---|---|---|---|---|---
Resist.pasta|ohms|3 330|2 298|582|350|458|624
Conductividad|mmhos/cm|0.0|0.0|3.0|4.3|4.7|5.3
pH pasta (1:1)|---|5.1|6.4|7.2|7.4|7.5|7.7
pH agua (1:2,5)|---|5.4|6.6|7.8|8.1|8.3|8.6
pH 1N ClK (1:2,5)|---|4.4|5.1|5.9|6.5|6.5|7.1
Ca++ intercambio|me/100g|5.1|4.2|7.8|7.6|11.1|6.9
Mg++ intercambio|me/100g|1.8|2.9|5.1|4.7|4.4|3.0
Na+ intercambio|me/100g|5.3|6.4|8.3|8.0|9.3|16.0
K+ intercambio|me/100g|2.0|2.4|4.2|4.7|3.9|5.0
H+ intercambio|me/100g|3.0|2.0|0.0|0.0|0.0|0.0
(Na+/T)|%|31.2|35.0|30.5|34.2|31.7|53.3
C.I.C., (T)|me/100g|17.0|18.3|27.2|23.4|29.3|30.0
Suma bases (S)|me/100g|14.2|15.9|25.4|25.0|28.7|30.9
Sat.bases, (S/T)|%|84|87|93|107|98|103
Comp. Extr. Sat.|||||||
Ca++|me/l|---|---|---|1.8|2.6|2.8
Mg++|me/l|---|---|---|0.6|0.2|1.0
Na+|me/l|---|---|---|35.0|36.0|45.0
K+|me/l|---|---|---|1.0|---|---
CO3-|me/l|---|---|---|4.0|3.2|3.6
SO4=|me/l|---|---|---|25.6|26.4|31.2
Cl-|me/l|---|---|---|14.8|17.4|21.0
RAS|---|---|---|---|32|30|33
