horizonte||e1|e2|bt|bc|c|ck
Profundidad muestra|cm|0|19|33|62|103|124
Mat. orgánica|%|1.71|0.50|0.47|0.24|0.21|0.21
C orgánico|%|0.99|0.29|0.27|0.14|0.12|0.12
N total|%|0.106|0.041|0.041|0.027|0.02|0.02
Relación C/N|---|9|7|7|5|6|6
Arcilla < 2µ|%|4.0|5.0|14.0|10.4|6.8|6.8
Limo 2-50µ|%|46.6|45.0|43.7|42.0|43.2|44.6
Arena >50µ|%|48.1|47.2|41.8|45.7|48.3|47.0
TOTAL|%|98.7|97.2|99.5|98.1|98.3|98.4
Limo 2-20µ|%||||||
Arena:|||||||
Muy fina 50-100µ|%|41.5|44.8|36.7|41.3|48.0|42.2
Fina 100-250µ|%|5.3|1.8|3.7|3.8|0.1|4.0
Media 250-500µ|%|0.6|0.3|0.4|0.2|0.1|0.1
Gruesa 500-1000µ|%|0.7|0.3|0.8|0.3|0.1|0.7
Muy gruesa 1-2mm|%|0.0|0.0|0.2|0.1|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|1.4|1.7|0.3|2.5
Equiv.humedad|%|15.1|14.3|21.0|19.5|17.3|17.7
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---
pH pasta (1:1)|---|6.0|7.2|8.3|9.1|9.4|9.5
pH agua (1:2,5)|---|5.0|5.7|6.5|6.9|7.2|7.5
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|8.3|10.9|---|---|---|---
Mg++ intercambio|me/100g|1.6|1.1|---|---|---|---
Na+ intercambio|me/100g|0.4|0.6|---|8.4|9.1|11.5
K+ intercambio|me/100g|2.8|1.6|2.7|2.2|2.1|1.9
H+ intercambio|me/100g|3.4|0.5|---|---|---|---
(Na+/T)|%|2.4|4.0|---|37.5|46.9|56.4
C.I.C., (T)|me/100g|16.5|15.0|28.3|22.4|19.4|20.4
Suma bases (S)|me/100g|13.1|14.2|---|---|---|---
Sat.bases, (S/T)|%|79|95|---|---|---|---
